Delivery_Date,Delivery_ID,Delivery_Partner,Package_Type,Vehicle_Type,Delivery_Mode,Region,Weather_Condition,Distance_KM,Package_Weight_KG,Delivery_Time,Expected_Time,Delayed,Delivery_Status,Delivery_Rating,Delivery_Cost
18-10-2025,505120,xpressbees,documents,ev van,express,west,hot,78.3,49.2,12:30:00 PM,11:00:00 PM,yes,failed,1,589.16
19-10-2025,505210,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.5,12:45:00 PM,12:21:00 PM,no,delivered,4,378.35
20-10-2025,505300,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.9,01:00:00 PM,12:47:00 PM,no,delivered,5,324.08
21-10-2025,505390,blue dart,clothing,truck,express,north,hot,216.7,26.9,01:15:00 PM,12:45:00 PM,yes,delayed,2,1214.17
22-10-2025,505480,dhl,electronics,van,standard,south,foggy,148.2,38.6,01:00:00 PM,12:55:00 PM,no,delivered,4,856.8
23-10-2025,505570,fedex,cosmetics,ev van,same day,south,clear,184.2,46.8,03:10:00 PM,03:10:00 PM,no,delivered,4,1161.37
24-10-2025,505660,fedex,groceries,truck,same day,east,stormy,167.7,42.4,03:25:00 PM,03:16:00 PM,no,delivered,5,1065.7
25-10-2025,505750,delhivery,electronics,ev bike,standard,central,cold,197.7,25.8,03:35:00 PM,03:10:00 PM,no,delivered,5,1066.02
26-10-2025,505840,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.9,03:50:00 PM,03:40:00 PM,no,delivered,5,1200.32
27-10-2025,505930,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.1,04:00:00 PM, 03:30:00 PM,no,delivered,5,484.65
28-10-2025,506020,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.9,04:10:00 PM, 04:05:00 PM,no,delivered,4,1045.11
29-10-2025,506110,xpressbees,clothing,bike,two day,east,cold,83.5,6.8,04:30:00 PM, 04:19:00 PM,no,delivered,5,437.93
30-10-2025,506200,ecom express,fragile items,truck,same day,central,foggy,9.3,47.6,05:05:00 PM, 04:55:00 PM,no,delivered,5,289.36
31-10-2025,506290,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47,05:20:00 PM, 05:10:00 PM,no,delivered,3,1370.53
01-10-2025,506380,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,05:20:00 PM, 05:18:00 PM,yes,delayed,2,1315.6
02-10-2025,506470,ecom express,pharmacy,bike,express,east,hot,226,37.6,05:25:00 PM, 05:16:00 PM,yes,delayed,2,1292.86
03-10-2025,506560,dhl,clothing,bike,two day,west,hot,113.3,34,05:30:00 PM, 05:25:00 PM,no,delivered,5,668.59
04-10-2025,506650,ekart,groceries,ev bike,standard,north,stormy,232.3,41.9,06:00:00 PM, 05:40:00 PM,no,delivered,4,1287.23
05-10-2025,506740,ecom express,electronics,scooter,express,east,cold,87.7,22.4,06:15:00 PM,11:00:00 PM,yes,failed,2,555.64
06-10-2025,506830,dhl,furniture,van,same day,east,rainy,90.1,27.5,06:30:00 PM, 06:28:00 PM,no,delivered,4,632.88
07-10-2025,506920,delhivery,cosmetics,bike,express,north,rainy,110.4,44.9,06:45:00 PM, 06:10:00 PM,yes,delayed,2,736.82
08-10-2025,507010,fedex,documents,bike,same day,central,cold,217.3,3,07:00:00 PM, 06:28:00 PM,no,delivered,5,1195.59
09-10-2025,507100,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.3,07:15:00 PM, 07:10:00 PM,no,delivered,3,460.75
10-10-2025,507190,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.2,07:30:00 PM, 07:15:00 PM,no,delivered,5,173.54
11-10-2025,507280,fedex,documents,ev van,express,north,rainy,78.5,27.9,07:45:00 PM, 07:30:00 PM,yes,delayed,3,526.11
12-10-2025,507370,blue dart,documents,van,express,north,hot,138.3,47.9,08:00:00 PM, 07:40:00 PM,yes,delayed,3,885.11
13-10-2025,507460,xpressbees,clothing,truck,two day,north,cold,96.4,39.3,08:15:00 PM, 08:10:00 PM,no,delivered,4,599.99
14-10-2025,507550,fedex,furniture,ev van,standard,west,cold,216.2,23.9,08:30:00 PM, 08:28:00 PM,no,delivered,4,1152.79
15-10-2025,507640,ekart,clothing,van,express,south,stormy,24.1,34.1,08:45:00 PM, 08:30:00 PM,yes,delayed,3,272.8
16-10-2025,507730,ekart,fragile items,scooter,standard,east,rainy,197.1,28.2,09:00:00 PM, 08:28:00 PM,no,delivered,4,1070.19
17-10-2025,507820,shadowfax,documents,ev bike,same day,west,foggy,94.8,10,10:25:00 AM,10:22:00 AM,no,delivered,4,604.06
18-10-2025,507910,xpressbees,pharmacy,bike,express,south,hot,56,22.9,10:30:00 AM,12:00:00 PM,yes,delayed,2,398.73
19-10-2025,508000,ecom express,clothing,scooter,same day,east,stormy,70.7,5.7,10:30:00 AM,12:00:00 PM,yes,delayed,3,470.66
20-10-2025,508090,dhl,documents,bike,same day,east,rainy,60.4,22.9,10:35:00 AM, 10:29:00 AM,no,delivered,5,470.79
21-10-2025,508180,blue dart,clothing,truck,same day,central,stormy,258.4,22.1,10:40:00 AM,12:00:00 PM,yes,failed,2,1458.24
22-10-2025,508270,amazon logistics,furniture,scooter,two day,central,cold,89.3,35,11:45:00 AM, 11:08:00 AM,no,delivered,4,551.44
23-10-2025,508360,shadowfax,electronics,van,two day,south,clear,244,13.6,11:50:00 AM,11:41:00 AM,no,delivered,4,1260.86
24-10-2025,508450,xpressbees,electronics,truck,standard,south,stormy,87.8,19.8,12:00:00 PM,11:52:00 AM,no,delivered,4,498.31
25-10-2025,508540,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,12:15:00 PM,12:07:00 PM,no,delivered,4,172.6
26-10-2025,508630,ekart,furniture,van,two day,south,cold,3.6,8.8,12:30:00 PM,12:13:00 PM,no,delivered,3,95.67
27-10-2025,508720,xpressbees,documents,van,standard,east,rainy,111,36.7,12:45:00 PM,12:21:00 PM,no,delivered,4,665.04
28-10-2025,508810,amazon logistics,groceries,bike,express,east,rainy,256.4,33.5,01:00:00 PM,12:47:00 PM,yes,delayed,3,1432.59
29-10-2025,508900,dhl,groceries,ev van,same day,east,foggy,177.9,20.2,01:15:00 PM,12:45:00 PM,no,delivered,5,1049.98
30-10-2025,508990,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.1,01:00:00 PM,12:55:00 PM,no,delivered,4,1045.27
17-10-2025,509080,amazon logistics,furniture,ev bike,standard,central,cold,125,39.4,03:10:00 PM,03:10:00 PM,no,delivered,5,743.23
17-10-2025,509170,dhl,fragile items,bike,two day,north,hot,83.3,34.7,03:25:00 PM,03:16:00 PM,no,delivered,4,520.63
19-10-2025,509260,ecom express,clothing,van,standard,west,foggy,193.2,33.3,03:35:00 PM,03:10:00 PM,no,delivered,4,1065.84
17-10-2025,509350,ekart,clothing,van,two day,east,foggy,174.3,47.3,03:50:00 PM,03:40:00 PM,no,delivered,5,1013.37
17-10-2025,509440,ekart,groceries,bike,same day,west,clear,11.4,40.2,04:00:00 PM, 03:30:00 PM,no,delivered,5,277.66
17-10-2025,509530,xpressbees,electronics,ev van,express,east,clear,166.4,45,04:10:00 PM, 04:05:00 PM,yes,delayed,2,1016.88
17-10-2025,509620,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.1,04:30:00 PM, 04:19:00 PM,no,delivered,5,1062.21
07-10-2025,509710,blue dart,groceries,truck,express,west,stormy,111.2,37.3,05:05:00 PM, 04:55:00 PM,yes,delayed,2,717.99
08-10-2025,509800,amazon logistics,groceries,ev bike,same day,west,hot,103.2,38,05:20:00 PM, 05:10:00 PM,no,delivered,5,729.91
09-10-2025,509890,blue dart,furniture,scooter,standard,east,clear,236.4,47.3,05:20:00 PM, 05:18:00 PM,no,delivered,4,1323.84
10-10-2025,509980,amazon logistics,electronics,van,same day,central,clear,111.9,26.3,05:25:00 PM, 05:16:00 PM,no,delivered,5,738.52
11-10-2025,510070,delhivery,groceries,ev van,standard,south,stormy,86.6,20.6,05:30:00 PM, 05:25:00 PM,no,delivered,5,494.92
12-10-2025,510160,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.1,06:00:00 PM, 05:40:00 PM,no,delivered,5,1322.21
13-10-2025,510250,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.5,06:15:00 PM, 06:10:00 PM,no,delivered,4,1632.72
14-10-2025,510340,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.7,06:30:00 PM, 06:28:00 PM,no,delivered,5,412.45
15-10-2025,510430,shadowfax,furniture,bike,two day,central,stormy,114.2,28.8,06:45:00 PM, 06:10:00 PM,no,delivered,5,657.46
16-10-2025,510520,fedex,furniture,scooter,same day,north,hot,3.6,31.4,07:00:00 PM, 06:28:00 PM,no,delivered,4,203.23
17-10-2025,510610,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.6,07:15:00 PM,11:00:00 PM,yes,failed,2,898.65
18-10-2025,510700,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.7,07:30:00 PM, 07:15:00 PM,no,delivered,4,560.07
19-10-2025,510790,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.2,07:45:00 PM,11:00:00 PM,yes,failed,2,1305.19
20-10-2025,510880,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.8,08:00:00 PM, 07:40:00 PM,no,delivered,4,1376.46
21-10-2025,510970,fedex,electronics,scooter,standard,west,clear,35.7,10.8,08:15:00 PM, 08:10:00 PM,no,delivered,3,210.9
22-10-2025,511060,fedex,documents,van,express,central,stormy,259.3,27,08:30:00 PM,11:00:00 PM,yes,failed,1,1427.53
23-10-2025,511150,shadowfax,documents,ev bike,same day,south,clear,65.3,45.1,08:45:00 PM, 08:30:00 PM,no,delivered,5,561.77
24-10-2025,511240,delhivery,cosmetics,van,express,south,clear,93.1,20.9,09:00:00 PM, 08:28:00 PM,no,delivered,3,578.17
25-10-2025,511330,blue dart,pharmacy,bike,standard,central,hot,265.8,32.1,10:25:00 AM,10:22:00 AM,no,delivered,5,1425.33
26-10-2025,511420,ekart,furniture,truck,two day,west,clear,110.2,23.2,10:30:00 AM, 10:25:00 AM,no,delivered,4,620.72
27-10-2025,511510,blue dart,documents,bike,standard,west,clear,6,0.9,10:30:00 AM,10:27:00 AM,no,delivered,4,95.67
28-10-2025,511600,dhl,furniture,truck,two day,east,foggy,16.5,21.5,10:35:00 AM, 10:29:00 AM,no,delivered,4,146.97
29-10-2025,511690,xpressbees,documents,ev van,standard,north,cold,102,18.7,10:40:00 AM,10:34:00 AM,no,delivered,4,566.01
30-10-2025,511780,shadowfax,furniture,bike,express,north,rainy,265.4,16,11:45:00 AM,12:00:00 PM,yes,delayed,3,1424.88
31-10-2025,511870,fedex,groceries,ev van,two day,north,foggy,27.5,15.4,11:50:00 AM,11:41:00 AM,no,delivered,5,183.79
01-10-2025,511960,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.8,12:00:00 PM,11:52:00 AM,no,delivered,3,320.87
02-10-2025,512050,shadowfax,cosmetics,bike,express,north,cold,290.2,29.3,12:15:00 PM,12:07:00 PM,no,delivered,4,1588.78
03-10-2025,512140,delhivery,clothing,scooter,standard,east,rainy,124,40.2,12:30:00 PM,12:13:00 PM,no,delivered,4,740.6
04-10-2025,512230,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.7,12:45:00 PM,12:21:00 PM,no,delivered,4,1434.54
05-10-2025,512320,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.6,01:00:00 PM,12:47:00 PM,no,delivered,5,618.71
06-10-2025,512410,shadowfax,groceries,ev bike,express,east,hot,156,14.5,01:15:00 PM,12:45:00 PM,no,delivered,3,873.47
07-10-2025,512500,shadowfax,furniture,van,standard,north,foggy,284.1,14.4,01:00:00 PM,12:55:00 PM,no,delivered,4,1463.55
08-10-2025,512590,fedex,clothing,truck,same day,north,cold,287,8.2,03:10:00 PM,11:00:00 PM,yes,failed,1,1559.63
09-10-2025,512680,delhivery,electronics,van,two day,north,foggy,50.5,31.3,03:25:00 PM,03:16:00 PM,no,delivered,4,346.34
10-10-2025,512770,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,03:35:00 PM,03:10:00 PM,no,delivered,4,1039
11-10-2025,512860,amazon logistics,fragile items,truck,same day,west,hot,127.8,20,03:50:00 PM,03:40:00 PM,no,delivered,3,799.09
12-10-2025,512950,ekart,groceries,scooter,two day,east,cold,45.8,27.2,04:00:00 PM, 03:30:00 PM,no,delivered,5,310.66
13-10-2025,513040,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.9,04:10:00 PM, 04:05:00 PM,no,delivered,5,245.29
14-10-2025,513130,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.4,04:30:00 PM, 04:19:00 PM,no,delivered,4,909.11
15-10-2025,513220,dhl,automobile parts,ev van,same day,south,rainy,29,40.9,05:05:00 PM, 04:55:00 PM,no,delivered,4,367.67
16-10-2025,513310,dhl,furniture,scooter,standard,north,clear,281.6,19.8,05:20:00 PM, 05:10:00 PM,no,delivered,3,1467.43
17-10-2025,513400,ecom express,electronics,van,same day,east,stormy,75.7,41.5,05:20:00 PM, 05:18:00 PM,yes,delayed,2,602.91
18-10-2025,513490,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.2,05:25:00 PM, 05:16:00 PM,no,delivered,4,705.04
19-10-2025,513580,ekart,cosmetics,truck,standard,west,rainy,218.2,34,05:30:00 PM, 05:25:00 PM,no,delivered,5,1193
20-10-2025,513670,dhl,automobile parts,scooter,express,east,rainy,152.8,10.5,06:00:00 PM, 05:40:00 PM,yes,delayed,2,845.38
21-10-2025,513760,ecom express,automobile parts,van,same day,west,cold,113.8,22,06:15:00 PM, 06:10:00 PM,no,delivered,3,734.85
22-10-2025,513850,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.8,06:30:00 PM, 06:28:00 PM,no,delivered,5,1038.84
23-10-2025,513940,delhivery,electronics,truck,two day,north,rainy,60.1,40.6,06:45:00 PM, 06:10:00 PM,no,delivered,3,422.39
24-10-2025,514030,ekart,documents,truck,same day,south,foggy,147.7,46.6,07:00:00 PM, 06:28:00 PM,no,delivered,4,978.21
25-10-2025,514120,amazon logistics,cosmetics,truck,two day,north,cold,289,49,07:15:00 PM, 07:10:00 PM,no,delivered,4,1591.97
26-10-2025,514210,delhivery,pharmacy,van,express,north,cold,235.6,42.4,07:30:00 PM, 07:15:00 PM,yes,delayed,3,1355.05
27-10-2025,514300,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.8,07:45:00 PM, 07:30:00 PM,no,delivered,4,634.78
28-10-2025,514390,ekart,groceries,truck,two day,central,cold,273.9,42.6,08:00:00 PM, 07:40:00 PM,no,delivered,3,1497.18
29-10-2025,514480,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.4,08:15:00 PM, 08:10:00 PM,no,delivered,4,1401.08
30-10-2025,514570,ekart,groceries,van,two day,east,clear,82.2,18.8,08:30:00 PM, 08:28:00 PM,no,delivered,3,467.43
31-10-2025,514660,dhl,clothing,truck,same day,south,cold,280.3,15.3,08:45:00 PM, 08:30:00 PM,no,delivered,4,1547.37
01-10-2025,514750,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.1,09:00:00 PM, 08:28:00 PM,yes,delayed,2,938.86
02-10-2025,514840,blue dart,groceries,van,same day,west,clear,279.9,21.6,10:25:00 AM,12:00:00 PM,yes,failed,2,1564.39
03-10-2025,514930,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,10:30:00 AM,12:00:00 PM,yes,delayed,2,1056.6
04-10-2025,515020,fedex,electronics,van,two day,central,cold,29.9,47.3,10:30:00 AM,10:27:00 AM,no,delivered,3,291.43
05-10-2025,515110,amazon logistics,furniture,truck,standard,north,hot,42.6,44.6,10:35:00 AM, 10:29:00 AM,no,delivered,4,346.65
06-10-2025,515200,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.3,10:40:00 AM,10:34:00 AM,no,delivered,4,819.43
07-10-2025,515290,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.2,11:45:00 AM, 11:08:00 AM,no,delivered,4,174.48
08-10-2025,515380,dhl,documents,ev bike,two day,east,hot,230.8,30,11:50:00 AM,11:41:00 AM,no,delivered,4,1244.03
09-10-2025,515470,dhl,clothing,bike,express,west,clear,93,9.4,12:00:00 PM,11:52:00 AM,no,delivered,4,543.11
10-10-2025,515560,dhl,electronics,van,two day,west,clear,10.4,4.6,12:15:00 PM,12:07:00 PM,no,delivered,4,95.67
11-10-2025,515650,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.4,12:30:00 PM,12:13:00 PM,no,delivered,4,981.76
12-10-2025,515740,ekart,documents,scooter,express,west,rainy,182.1,2.3,12:45:00 PM,12:21:00 PM,yes,delayed,2,967.28
13-10-2025,515830,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.9,01:00:00 PM,12:47:00 PM,no,delivered,4,316.67
14-10-2025,515920,dhl,groceries,bike,two day,north,cold,55.2,6.8,01:15:00 PM,12:45:00 PM,no,delivered,3,296.34
15-10-2025,516010,delhivery,pharmacy,truck,express,east,stormy,223.3,44.4,01:00:00 PM,11:00:00 PM,yes,failed,1,1299.58
16-10-2025,516100,delhivery,electronics,truck,express,west,hot,46.2,14.8,03:10:00 PM,03:10:00 PM,no,delivered,5,325.49
17-10-2025,516190,delhivery,documents,ev bike,two day,south,hot,3.6,49.5,03:25:00 PM,03:16:00 PM,no,delivered,5,163.39
18-10-2025,516280,xpressbees,groceries,scooter,express,north,hot,297.1,22,03:35:00 PM,03:10:00 PM,no,delivered,5,1615.5
19-10-2025,516370,xpressbees,electronics,bike,express,central,hot,87.8,7.7,03:50:00 PM,03:40:00 PM,no,delivered,5,512.16
20-10-2025,516460,xpressbees,groceries,truck,express,central,hot,267.4,11.5,04:00:00 PM, 03:30:00 PM,yes,delayed,2,1421.59
21-10-2025,516550,fedex,furniture,ev van,two day,east,stormy,124.8,10.8,04:10:00 PM, 04:05:00 PM,no,delivered,4,656.52
22-10-2025,516640,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,04:30:00 PM, 04:19:00 PM,no,delivered,4,1519.4
23-10-2025,516730,blue dart,furniture,scooter,two day,central,hot,129.5,39.8,05:05:00 PM, 04:55:00 PM,no,delivered,4,767.02
24-10-2025,516820,ecom express,fragile items,van,same day,south,foggy,225,7.3,05:20:00 PM, 05:10:00 PM,yes,delayed,3,1246.96
25-10-2025,516910,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.4,05:20:00 PM, 05:18:00 PM,no,delivered,5,1521.58
26-10-2025,517000,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.1,05:25:00 PM, 05:16:00 PM,no,delivered,4,550.21
27-10-2025,517090,blue dart,pharmacy,truck,same day,east,hot,9.9,30.2,05:30:00 PM, 05:25:00 PM,no,delivered,3,240.22
28-10-2025,517180,fedex,automobile parts,van,standard,west,hot,135.1,37.6,06:00:00 PM, 05:40:00 PM,no,delivered,5,788.27
29-10-2025,517270,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.6,06:15:00 PM, 06:10:00 PM,no,delivered,4,1159.92
30-10-2025,517360,fedex,documents,truck,express,north,rainy,169.6,41.4,06:30:00 PM, 06:28:00 PM,yes,delayed,3,1022.32
31-10-2025,517450,fedex,fragile items,van,express,central,foggy,250.7,30,06:45:00 PM,11:00:00 PM,yes,failed,2,1393.41
01-10-2025,517540,blue dart,fragile items,bike,two day,north,rainy,80.7,0.7,07:00:00 PM, 06:28:00 PM,no,delivered,4,404.76
02-10-2025,517630,dhl,groceries,scooter,two day,east,stormy,21.3,41.2,07:15:00 PM, 07:10:00 PM,no,delivered,3,230.07
03-10-2025,517720,ekart,fragile items,ev bike,two day,north,clear,67.1,32.9,07:30:00 PM, 07:15:00 PM,no,delivered,4,434.23
04-10-2025,517810,ekart,pharmacy,ev bike,standard,west,foggy,69.4,1,07:45:00 PM, 07:30:00 PM,no,delivered,3,349.97
05-10-2025,517900,xpressbees,cosmetics,van,two day,south,cold,101.2,39.4,08:00:00 PM, 07:40:00 PM,no,delivered,5,624.11
06-10-2025,517990,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.4,08:15:00 PM, 08:10:00 PM,no,delivered,4,619.11
07-10-2025,518080,shadowfax,fragile items,ev bike,same day,north,foggy,71,32.6,08:30:00 PM, 08:28:00 PM,no,delivered,3,552.68
08-10-2025,518170,dhl,automobile parts,truck,two day,east,foggy,37.4,42.4,08:45:00 PM, 08:30:00 PM,no,delivered,4,314.08
09-10-2025,518260,ecom express,fragile items,scooter,two day,north,cold,157,43,09:00:00 PM, 08:28:00 PM,no,delivered,4,914.09
10-10-2025,518350,delhivery,groceries,van,same day,east,cold,213.7,49.5,10:25:00 AM,10:22:00 AM,no,delivered,5,1317.81
